objectid,filename,title,creator,mine,depth,date,description,subject,location,latitude,longitude,source,format original,format,type,identifier,language,rights,rightsstatement
neighborhood1,https://images.squarespace-cdn.com/content/v1/5a5986b2cf81e095e172ce87/1566682911150-4C0ZLEJURUHQQAZ0GU38/flyingdawnmarie-beverly-hills-gardens-park-sign-instagram-spot-01.jpg,Beverly Hills,"Marie, Dawn",,,2019,"Beverly Hills has cemented itself in the national mindset as the epitome of the “good life” and Hollywood glamour. Moreover, it reflects the power and prestige of the entertainment industry in shaping Los Angeles’ overarching identity. Beyond its famous streets lined with palm trees and the iconic stretch of Rodeo Drive, the surrounding neighborhood represents aspiration and risk that has culminated in all the successes and material goods life has to offer. Ultimately, it came to symbolize the dream of power and wealth in Los Angeles. Its enduring image continues to influence the worlds of fashion, film, and fame. Beverly Hills is much more than a wealthy residential enclave. It is an internationally recognized symbol of success and prestige. ",Key Neighborhood,"1300-1398 Park Way; Beverly Hills, California; United States",34.0756,-118.40094,"Marie, Dawn. “Beverly Hills, CA Complete Photo Guide - Flying Dawn Marie: Travel Blog, Guides & Itineraries for Adventurous Travellers.” Flying Dawn Marie, Flying Dawn Marie, 26 Aug. 2019, www.flyingdawnmarie.com/new-blog/2019/8/20/your-guide-to-beverly-hills. ",,image/jpeg,,,,,
landmark1,https://losangelesexplorersguild.com/wp-content/uploads/2022/03/laxg_mariachi-plaza_01_kiosco.jpg?w=750,Mariachi Plaza,"Fassbender, Tom",,,2022,"Since the 1930’s, Mariachi Plaza has served as a vital and central hub for mariachi musicians and artists to congregate and perform, as they continue to keep Mexican music and other traditions alive. To this day, Mariachi Plaza thrives as the heartbeat of East Los Angeles where citizens continue to celebrate Mexican-American heritage among its broader community of Los Angeles and visitors who long for Mexican culture. It is truly a place that unites people from various backgrounds and cultures.",Landmarks,"103 N Boyle Ave; Los Angeles, California; United States",34.04748,-118.21908,"Fassbender, Tom. “Mariachi Plaza.” Los Angeles Explorers Guild, 15 Apr. 2022, losangelesexplorersguild.com/2022/04/13/mariachi-plaza/. ",,image/jpeg,,,,,
landmark2,https://scpr.brightspotcdn.com/5b/7d/74a4203249d4b8907eb9761d0248/hollenbeck-park-la-parks.jpeg,Hollenbeck Park,"Tso, Phoenix",,,2021,"As one of the oldest and most loved parks in all of Los Angeles, Hollenbeck Park appeals to “everyday” people. Founded in 1892, this public park, with its expansive lush greenery, beautiful lake, and many pathways serves as a natural refuge in an urban environment. Furthermore, Hollenbeck Park was established to offer a recreational escape for the hardworking families from many cultures in its surrounding community. It remains as a symbol of nature and history centered within the larger bustling city of Los Angeles. ",Landmarks,"415 South Saint Louis St.; Los Angeles, California; United States",34.04034,-118.21765,"Tso, Phoenix. “Hollenbeck Park - Updated October 2025 - 166 Photos & 42 Reviews - 415 s Saint Louis St, Los Angeles, California - Parks - Phone Number - Yelp.” Yelp, 2021,www.yelp.com/biz/hollenbeck-park-los-angeles.. ",,image/jpeg,,,,,
landmark3,https://www.dailynews.com/wp-content/uploads/2021/08/LDN-L-SHUL-0811-03-SR.jpg,Breed Street Shul,"Reingewirtz, Sarah",,,2021,"Standing as a symbol of perseverance and longevity through changing times, the Breed Street Shul once served as the primary place of worship for the Orthodox Jewish community on the west coast. The Shul acted as a vibrant center for important religious and community based events in the Boyle Heights neighborhood of L. A. To the present day, it remains as an enduring symbol of faith within an ever evolving city. Moreover, it reflects values that align with the city as a whole, such as inclusion and community. ",Landmarks,"247 N Breed St.; Los Angeles, California; United States",34.04687,-118.2096,"Reingewirtz, Sarah. “Boyle Heights’ Century-Old Breed Street Shul Gets New Lease on Life to Serve Diverse Area.” Daily News, Daily News, 16 Aug. 2021, www.dailynews.com/2021/08/16/boyle-heights-century-old-breed-street-shul-gets-new-lease-on-life-to-serve-diverse-area/. ",,image/jpeg,,,,,
keydate1,,Founding of Los Angeles,,,,," 
Los Angeles was officially founded on September 4, 1781 as ""El Pueblo de Nuestra Señora la Reina de los Ángeles"" by a group of 14 families of settlers of Indigenous, African, and Spanish descent under Spanish colonial rule.  
",Key Dates,,,,,,,,,,,
keydate2,,Incorporation of Beverly Hills,,,,,"In 1914, Beverly Hills became an incorporated city and luxurious residential enclave, rising from the development of former ranchland and oil fields. Its rise as a residential destination for Hollywood celebrities and elites would go on to create its identity and allure as a hub of success, wealth, and glamour. ",Key Dates,,,,,,,,,,,
keydate3,,Watts Uprising,,,,,"Caused by growing tensions in 1965 between its police force and Black residents, the Watts Uprising boiled over in South Los Angeles. This event brought to light the significant racial inequalities in the region and beyond, while also stirring a national dialogue regarding civil rights. ",Key Dates,,,,,,,,,,,
keydate4,,First Coachella Valley Music & Arts Festival,,,,,"In 1999, the inaugural Coachella Festival was held in Indio, just east of Los Angeles, for the very first time. The festival exploded onto the local and national music scene, furthering Southern California as a Mecca of music and culture. Its monstrous success became a draw for the youthful masses and incredible musical artists from around the world.",Key Dates,,,,,,,,,,,
keydate5,,Hollywood Film Boom,,,,,"In 1910, Hollywood became the undeniable epicenter of the global film industry. Its meteoric rise as the entertainment hub of our nation brought about sudden development of massive movie studios which drew in aspiring actors and producers from across the globe cementing its status as the center of the entertainment industry. ",Key Dates,,,,,,,,,,,
festival1,https://cdn.theatlantic.com/thumbor/r5Cupor5INJVbkeoETq3yVixeD0=/1200x799/media/img/photo/2017/04/scenes-from-coachella-2017/c02_AP17107209133124/original.jpg,Coachella Valley Music & Arts Festival,"Harris, Amy",,,2017,"Coachella has become a major cultural phenomenon for Los Angeles, serving as a direct reflection of the city’s influence on music, fashion, and pop culture around the globe. The festival acts as so much more than a simple platform for rising and established artists. It also reaffirms the identity of L.A. as a hub of creativity and thought where the latest trends in art, style, and social media are formed. More importantly, it serves as a space of inclusion where diverse communities are compelled to unite and connect for the greater purpose of guiding future creative direction and innovation. ",Local Festival,"Empire Polo Club; Indio, California; United States",33.67598,-116.23723,"Harris, Amy. “Scenes from Coachella 2017.” The Atlantic, Atlantic Media Company, 17 Apr. 2017, www.theatlantic.com/photo/2017/04/scenes-from-coachella-2017/523278/. ",,image/jpeg,,,,,
food1,https://miro.medium.com/v2/resize:fit:1436/1*XxRyHlip1dRmGxo2MXN-IA.jpeg,Erewhon Market,"Hsu, Karine",,,2020,"Far beyond your typical grocery store, Erewhon Market has become a symbol of Los Angeles’ wellness obsessed lifestyle and luxury health culture. Representing the city’s preoccupation with clean living, organic food, and other catchy trends, this market has become a tremendously popular hub fueled by social media and celebrity personalities. Helping to further establish Los Angeles’ place in shaping national conversations pertaining to physical and mental well-being, Erewhon Market has developed into a cultural phenomenon. ",Local Food,"4121 Santa Monica Blvd; Los Angeles, California; United States",34.09224,-118.2823,"Hsu, Karine. “Four Things Grocery Stores Can Learn from Erewhon.” Medium, Medium, 2 Feb. 2020, karinehsu.medium.com/four-things-grocery-stores-can-learn-from-erewhon-a33ff284e76b. ",,image/jpeg,,,,,
building1,https://images.adsttc.com/media/images/5264/ac6c/e8e4/4e88/a000/01ff/newsletter/Gehry_PhilippRuemmele_riotphotography.com.jpg,Walt Disney Concert Hall,"Jones, Rennie",,,2013,"
Designed by renowned architect Frank Gehry, the Walt Disney Concert Hall serves as one of the L.A.’s most iconic architectural landmarks. Opening in 2003, its sleek and sharp steel design and top notch acoustics represent the city’s unwavering commitment to innovation and contemporary cultural expression. Housing the famed Los Angeles Philharmonic, it has become a major center for classical music and artistic collaboration. Lastly, the hall has also played a pivotal role in bringing about a renaissance in downtown L.A. The Walt Disney Concert Hall represents the artistic core of LA, from its sweeping curves and stainless-steel exterior to its warm and wooden interior. Overall, this iconic building represents both artistic ambition and unparalleled creativity. 
",Iconic Building,"111 S Grand Ave; Los Angeles, California; United States",34.05543,-118.24991,"Jones, Rennie. “Ad Classics: Walt Disney Concert Hall / Gehry Partners.” ArchDaily, ArchDaily, 23 Oct. 2013, www.archdaily.com/441358/ad-classics-walt-disney-concert-hall-frank-gehry. ",,image/jpeg,,,,,
building2,https://ktla.com/wp-content/uploads/sites/4/2023/07/GettyImages-2623716.jpg,Walt Disney Concert Hall,"McNew, David",,,2003,"
Designed by renowned architect Frank Gehry, the Walt Disney Concert Hall serves as one of the L.A.’s most iconic architectural landmarks. Opening in 2003, its sleek and sharp steel design and top notch acoustics represent the city’s unwavering commitment to innovation and contemporary cultural expression. Housing the famed Los Angeles Philharmonic, it has become a major center for classical music and artistic collaboration. Lastly, the hall has also played a pivotal role in bringing about a renaissance in downtown L.A. The Walt Disney Concert Hall represents the artistic core of LA, from its sweeping curves and stainless-steel exterior to its warm and wooden interior. Overall, this iconic building represents both artistic ambition and unparalleled creativity. 
",Iconic Building ,"111 S Grand Ave; Los Angeles, California; United States",34.05543,-118.24991,"McNew, David. Disney Concert Hall, Lobero Theatre Named among Most Beautiful Theaters in the World, 2003, ktla.com/news/california/disney-concert-hall-lobero-theatre-named-among-most-beautiful-theaters-in-the-world/. ",,image/jpeg,,,,,